#mT Tbq_01 Tbq_02 Tbq_03
981.5 0.3473925 0.33146749999999997 0.3160975
982.0 0.34649 0.33059 0.31522999999999995
982.5 0.3455875 0.32971249999999996 0.3143625
983.0 0.344685 0.328835 0.31349499999999997
983.5 0.3437825 0.32795749999999996 0.31262749999999995
984.0 0.34288 0.32708 0.31176
984.5 0.3419775 0.32620249999999995 0.31089249999999996
985.0 0.341075 0.325325 0.31002499999999994
985.5 0.3401725 0.3244475 0.3091575
986.0 0.33927 0.32356999999999997 0.30828999999999995
986.5 0.3383675 0.3226925 0.3074225
987.0 0.337465 0.32181499999999996 0.30655499999999997
987.5 0.3365625 0.3209375 0.30568749999999995
988.0 0.33566 0.32005999999999996 0.30482
988.5 0.3347575 0.3191825 0.30395249999999996
989.0 0.333855 0.31830499999999995 0.30308499999999994
989.5 0.3329525 0.3174275 0.3022175
990.0 0.33205 0.31655 0.30134999999999995
990.5 0.3311475 0.31567249999999997 0.3004825
991.0 0.330245 0.314795 0.29961499999999996
991.5 0.3293425 0.31391749999999996 0.29874749999999994
992.0 0.32844 0.31304 0.29788
992.5 0.32753750000000004 0.31216249999999995 0.29701249999999996
993.0 0.326635 0.311285 0.296145
993.5 0.32573250000000004 0.31040749999999995 0.29527749999999997
994.0 0.32483 0.30952999999999997 0.29440999999999995
994.5 0.32392750000000003 0.3086525 0.2935425
995.0 0.323025 0.30777499999999997 0.29267499999999996
995.5 0.32212250000000003 0.3068975 0.29180749999999994
996.0 0.32122 0.30601999999999996 0.29094
996.5 0.32031750000000003 0.3051425 0.29007249999999996
997.0 0.319415 0.30426499999999995 0.289205
997.5 0.31851250000000003 0.3033875 0.28833749999999997
998.0 0.31761 0.30250999999999995 0.28746999999999995
998.5 0.31670750000000003 0.30163249999999997 0.2866025
999.0 0.315805 0.300755 0.28573499999999996
999.5 0.31490250000000003 0.29987749999999996 0.28486749999999994
1000.0 0.314 0.299 0.284
1000.5 0.31361 0.298625 0.28364249999999996
1001.0 0.31322 0.29825 0.28328499999999995
1001.5 0.31283 0.297875 0.2829275
1002.0 0.31244 0.2975 0.28257
1002.5 0.31205 0.297125 0.2822125
1003.0 0.31166 0.29675 0.28185499999999997
1003.5 0.31127 0.296375 0.28149749999999996
1004.0 0.31088 0.296 0.28114
1004.5 0.31049 0.29562499999999997 0.2807825
1005.0 0.3101 0.29525 0.280425
1005.5 0.30971 0.294875 0.28006749999999997
1006.0 0.30932 0.2945 0.27970999999999996
1006.5 0.30893 0.29412499999999997 0.27935249999999995
1007.0 0.30854 0.29375 0.278995
1007.5 0.30815 0.293375 0.2786375
1008.0 0.30776 0.293 0.27827999999999997
1008.5 0.30737 0.29262499999999997 0.27792249999999996
1009.0 0.30698 0.29225 0.27756499999999995
1009.5 0.30659000000000003 0.291875 0.2772075
1010.0 0.3062 0.2915 0.27685
1010.5 0.30581 0.29112499999999997 0.2764925
1011.0 0.30542 0.29075 0.27613499999999996
1011.5 0.30503 0.290375 0.27577749999999995
1012.0 0.30464 0.29 0.27542
1012.5 0.30425 0.28962499999999997 0.2750625
1013.0 0.30386 0.28925 0.274705
1013.5 0.30347 0.288875 0.27434749999999997
1014.0 0.30308 0.2885 0.27398999999999996
1014.5 0.30269 0.28812499999999996 0.2736325
1015.0 0.3023 0.28775 0.273275
1015.5 0.30191 0.287375 0.2729175
1016.0 0.30152 0.287 0.27255999999999997
1016.5 0.30113 0.28662499999999996 0.27220249999999996
1017.0 0.30074 0.28625 0.271845
1017.5 0.30035 0.285875 0.2714875
1018.0 0.29996 0.2855 0.27113
1018.5 0.29957 0.28512499999999996 0.27077249999999997
1019.0 0.29918 0.28475 0.27041499999999996
1019.5 0.29879 0.284375 0.27005749999999995
1020.0 0.2984 0.284 0.2697
1020.5 0.29801 0.283625 0.2693425
1021.0 0.29762 0.28325 0.268985
1021.5 0.29723 0.282875 0.26862749999999996
1022.0 0.29684 0.2825 0.26826999999999995
1022.5 0.29645 0.28212499999999996 0.2679125
1023.0 0.29606 0.28175 0.267555
1023.5 0.29567 0.281375 0.2671975
1024.0 0.29528 0.28099999999999997 0.26683999999999997
1024.5 0.29489 0.280625 0.26648249999999996
1025.0 0.2945 0.28025 0.266125
1025.5 0.29411 0.279875 0.2657675
1026.0 0.29372 0.27949999999999997 0.26541
1026.5 0.29333 0.279125 0.26505249999999997
1027.0 0.29294 0.27875 0.26469499999999996
