m k res ratio channel r
1947.4747474747473 1.020514578830903 -1 -1.020514578830903 -1 0.3976819145167793
1989.8989898989898 0.9248931001330133 -1 -0.9248931001330133 -1 0.9451527236315531
1127.2727272727273 0.25340745971743334 1 0.46233289126055527 31 0.4019103110567058
1608.080808080808 0.40738863879764764 1 0.5757518275668918 30 0.021364415664808217
1339.3939393939395 0.9429640983019418 0 1.5506417691795944 30 0.15058430289567654
2343.4343434343436 0.7372503573691574 -1 -0.7372503573691574 -1 0.1814896354895992
1664.6464646464647 1.0991724692961788 0 1.577639222304049 30 0.4508142910209919
1608.080808080808 0.9856014607119564 0 1.3929250553778174 30 0.29050598019217744
2173.7373737373737 0.5309877158416202 -1 -0.5309877158416202 -1 0.012352195328540552
2244.4444444444443 0.49486778605939485 -1 -0.49486778605939485 -1 0.0006503142782255639
2301.010101010101 0.3534448691076313 -1 -0.3534448691076313 -1 0.004271919490809203
1919.1919191919192 1.0514004673092308 -1 -1.0514004673092308 -1 0.42793850728293
1622.2222222222222 1.1016651047607073 0 1.5629502546921252 30 0.3370835349595794
2032.3232323232323 0.0504901044463364 -1 -0.0504901044463364 -1 0.0005331987187882718
1254.5454545454545 0.9599030485569313 0 1.5554747478495905 30 0.15928127981749987
1608.080808080808 1.0472335962463466 0 1.4800281586344624 30 0.5077386910339579
2131.3131313131316 1.0893417620242765 -1 -1.0893417620242765 -1 0.7599834030703398
2400.0 0.6469575089244018 -1 -0.6469575089244018 -1 1.6078111224518474
2173.7373737373737 0.5578443699530736 -1 -0.5578443699530736 -1 0.055051142143248646
2272.727272727273 1.085696177115936 -1 -1.085696177115936 -1 0.6001266903277216
1395.9595959595958 0.22908650345370607 1 0.3887696002802382 30 0.00509397703773554
1028.2828282828282 0.8948623776301525 0 1.634653514704389 31 0.05735550952650016
1791.919191919192 1.0246204381909572 -1 -1.0246204381909572 -1 0.43782790340172856
1862.6262626262628 0.31319026845570497 -1 -0.31319026845570497 -1 0.021945661686540108
2216.161616161616 0.33968617314243077 -1 -0.33968617314243077 -1 0.0458084978544689
1862.6262626262628 1.0606277669968094 -1 -1.0606277669968094 -1 0.38975943025941895
2187.878787878788 0.660657958140712 -1 -0.660657958140712 -1 0.12111772073241624
1961.6161616161617 1.0377487369782123 -1 -1.0377487369782123 -1 0.8350229659999784
1834.3434343434344 0.6952307179236589 -1 -0.6952307179236589 -1 0.06787064746646164
1410.1010101010102 1.0405932502270918 0 1.770898052519231 30 0.43147458183313575
2216.161616161616 0.9967546569139905 -1 -0.9967546569139905 -1 0.9155359294374131
1381.8181818181818 0.24434098591629524 1 0.41136696180236104 30 0.0
1014.1414141414141 0.20721970859767136 1 0.3774940897016046 31 0.0033187607117709556
1410.1010101010102 0.9249921438889394 0 1.5741662612658986 30 0.5082852710738056
1169.6969696969697 0.7289490866500749 0 1.276426435168824 31 0.037132087442309926
1989.8989898989898 0.9528905709830109 -1 -0.9528905709830109 -1 0.8178714752896079
2145.4545454545455 0.2082760231357914 -1 -0.2082760231357914 -1 0.00014855366263680982
1876.7676767676767 0.9152258141222348 -1 -0.9152258141222348 -1 0.3314743647011618
1282.828282828283 0.6462396122186164 0 1.042857788998333 30 0.028093839771104582
2074.747474747475 0.9556743779541474 -1 -0.9556743779541474 -1 1.0758205888198322
1424.2424242424242 1.0453426448271794 0 1.7802790778905389 30 0.32999880001479825
2286.868686868687 0.4940634182016924 -1 -0.4940634182016924 -1 1.5555028836891251
1579.7979797979797 0.6108272590174727 1 0.8929859024005601 30 0.026096515328759264
1721.2121212121212 1.06572426018445 -1 -1.06572426018445 -1 0.5668767030720164
