mass br_wb br_zt br_ht s_l
475 0.5029316865641542 0.1621161388281746 0.33495217460767107 0.1
476 0.5028446901757105 0.16240795267478367 0.3347473571495059 0.1
477 0.5027591734537766 0.16269846222072215 0.3345423643255012 0.1
478 0.502675110236702 0.1629876735857187 0.3343372161775795 0.1
479 0.5025924748986109 0.1632755928776253 0.33413193222376375 0.1
480 0.5025112423364908 0.16356222619187255 0.33392653147163665 0.1
481 0.5024313879576415 0.16384757961094595 0.3337210324314126 0.1
482 0.5023528876674801 0.16413165920388048 0.3335154531286393 0.1
483 0.5022757178576855 0.16441447102577603 0.33330981111653846 0.1
484 0.502199855394674 0.1646960211173289 0.333104123487997 0.1
485 0.5021252776083938 0.1649763155043827 0.33289840688722366 0.1
486 0.502051962281429 0.16525536019749554 0.3326926775210755 0.1
487 0.5019798876384038 0.16553316119152411 0.33248695117007204 0.1
488 0.5019090323356754 0.165809724465224 0.3322812431991006 0.1
489 0.5018393754513086 0.16608505598086512 0.33207556856782633 0.1
490 0.5017708964753211 0.16635916168386264 0.33186994184081603 0.1
491 0.5017035753001943 0.16663204750242294 0.33166437719738284 0.1
492 0.501637392211636 0.16690371934720225 0.3314588884411619 0.1
493 0.5015723278795936 0.1671741831109812 0.3312534890094252 0.1
494 0.5015083633495059 0.1674434446683507 0.3310481919821434 0.1
495 0.501445480033785 0.16771150987541214 0.33084301009080286 0.1
496 0.5013836597035259 0.16797838456948935 0.3306379557269846 0.1
497 0.501322884480434 0.1682440745688527 0.33043304095071324 0.1
498 0.5012631368289617 0.16850858567245566 0.33022827749858263 0.1
499 0.5012043995486539 0.16877192365968183 0.3300236767916643 0.1
500 0.5011466557666896 0.1690340942901036 0.32981924994320666 0.1
501 0.5010898889306182 0.16929510330325162 0.32961500776613 0.1
502 0.5010340828012817 0.16955495641839433 0.32941096078032384 0.1
503 0.5009792214459198 0.16981365933432754 0.32920711921975265 0.1
504 0.5009252892314507 0.17007121772917452 0.3290034930393749 0.1
505 0.5008722708179237 0.17032763726019415 0.3288000919218821 0.1
506 0.5008201511521372 0.17058292356360014 0.3285969252842626 0.1
507 0.5007689154614178 0.1708370822543874 0.32839400228419485 0.1
508 0.5007185492475567 0.17109011892616846 0.32819133182627486 0.1
509 0.5006690382808984 0.1713420391510171 0.3279889225680845 0.1
510 0.5006203685945754 0.17159284847932119 0.3277867829261034 0.1
511 0.5005725264788881 0.17184255243964272 0.3275849210814691 0.1
512 0.5005254984758233 0.1720911565385858 0.32738334498559074 0.1
513 0.5004792713737077 0.17233866626067207 0.32718206236562025 0.1
514 0.500433832201993 0.1725850870682231 0.3269810807297839 0.1
515 0.5003891682261697 0.17283042440125007 0.32678040737258013 0.1
516 0.500345266942804 0.17307468367735016 0.3265800493798458 0.1
517 0.5003021160746953 0.17331787029160953 0.326380013633695 0.1
518 0.5002597035661526 0.17355998961651248 0.326180306817335 0.1
519 0.5002180175783819 0.17380104700185728 0.3259809354197607 0.1
520 0.500177046484989 0.17404104777467735 0.3257819057403338 0.1
521 0.5001367788675849 0.1742799972391688 0.3255832238932464 0.1
522 0.5000972035115008 0.17451790067662365 0.32538489581187563 0.1
523 0.5000583094016021 0.17475476334536783 0.32518692725303 0.1
524 0.5000200857182027 0.17499059048070556 0.3249893238010919 0.1
525 0.4999825218330747 0.1752253872948681 0.3247920908720571 0.1
526 0.4999456073055554 0.17545915897696757 0.3245952337174771 0.1
527 0.4999093318787401 0.17569191069295637 0.32439875742830354 0.1
528 0.4998736854757696 0.1759236475855896 0.3242026669386409 0.1
529 0.4998386581961997 0.1761543747743948 0.32400696702940546 0.1
530 0.49980424031245785 0.17638409735564314 0.323811662331899 0.1
531 0.4997704222663806 0.17661282040232662 0.3236167573312928 0.1
532 0.4997371946658303 0.17684054896413956 0.32342225637003014 0.1
533 0.4997045482813908 0.17706728806746297 0.3232281636511461 0.1
534 0.4996724740431387 0.17729304271535387 0.32303448324150735 0.1
535 0.4996409630374864 0.17751781788753784 0.32284121907497565 0.1
536 0.49961000650409926 0.17774161854040563 0.32264837495549514 0.1
537 0.4995795958328815 0.17796444960701305 0.32245595456010545 0.1
538 0.49954972256103064 0.17818631599708418 0.32226396144188524 0.1
539 0.4995203783701578 0.17840722259701822 0.3220723990328241 0.1
540 0.49949155508347187 0.17862717426989985 0.3218812706466282 0.1
541 0.49946324466303005 0.1788461758555118 0.32169057948145807 0.1
542 0.4994354392070446 0.17906423217035136 0.321500328622604 0.1
543 0.4994081309472536 0.17928134800764947 0.3213105210450969 0.1
544 0.49938131224634813 0.1794975281373927 0.3211211596162593 0.1
545 0.4993549755954563 0.17971277730634758 0.3209322470981962 0.1
546 0.4993291136116836 0.1799271002380888 0.3207437861502276 0.1
547 0.49930371903570575 0.18014050163302836 0.3205557793312659 0.1
548 0.4992787847294156 0.18035298616844866 0.3203682291021357 0.1
549 0.4992543036736207 0.18056455849853692 0.32018113782784235 0.1
550 0.49923026896579037 0.1807752232544229 0.31999450777978683 0.1
551 0.499206673817853 0.18098498504421792 0.3198083411379291 0.1
552 0.49918351155403906 0.1811938484530571 0.3196226399929039 0.1
553 0.4991607756087732 0.18140181804314276 0.31943740634808415 0.1
554 0.4991384595246076 0.18160889835379046 0.319252642121602 0.1
555 0.49911655695020474 0.18181509390147677 0.3190683491483185 0.1
556 0.4990950616383582 0.1820204091798893 0.3188845291817525 0.1
557 0.4990739674440588 0.18222484865997787 0.3187011838959634 0.1
558 0.49905326832260044 0.18242841679000812 0.31851831488739135 0.1
559 0.4990329583277267 0.18263111799561696 0.31833592367665636 0.1
560 0.49901303160981525 0.18283295667986868 0.31815401171031604 0.1
561 0.4989934824141024 0.18303393722331388 0.3179725803625838 0.1
562 0.4989743050789427 0.18323406398404907 0.31779163093700824 0.1
563 0.49895549403410655 0.18343334129777827 0.3176111646681151 0.1
564 0.49893704379911324 0.18363177347787585 0.31743118272301085 0.1
565 0.4989189489815963 0.18382936481545076 0.31725168620295296 0.1
566 0.4989012042757062 0.18402611957941198 0.3170726761448817 0.1
567 0.498883804460544 0.18422204201653578 0.31689415352292033 0.1
568 0.4988667443986266 0.1844171363515331 0.31671611924984033 0.1
569 0.4988500190343861 0.18461140678711957 0.31653857417849435 0.1
570 0.4988336233926966 0.18480485750408593 0.3163615191032176 0.1
571 0.4988175525774344 0.18499749266136864 0.316184954761197 0.1
572 0.4988018017700647 0.18518931639612365 0.3160088818338116 0.1
573 0.49878636622825895 0.18538033282379945 0.3158333009479416 0.1
574 0.4987712412845391 0.18557054603821146 0.31565821267724925 0.1
575 0.4987564223449501 0.18575996011161813 0.3154836175434317 0.1
576 0.49874190488775777 0.18594857909479667 0.3153095160174455 0.1
577 0.4987276844621747 0.18613640701712103 0.31513590852070433 0.1
